user_id,item_id,recommend
76561197970982479,1250,True
76561197970982479,22200,True
76561197970982479,43110,True
js41637,251610,True
js41637,227300,True
js41637,239030,True
evcentric,248820,True
evcentric,370360,True
evcentric,237930,True
evcentric,263360,True
evcentric,107200,True
evcentric,224500,True
doctr,250320,True
doctr,20920,True
doctr,204100,True
doctr,224600,True
doctr,207610,True
doctr,108710,True
maplemage,211420,True
maplemage,211820,True
maplemage,730,True
maplemage,204300,True
Wackky,249130,True
Wackky,207610,True
Wackky,550,True
Wackky,65800,True
Wackky,220,True
death-hunter,232090,True
death-hunter,1250,True
death-hunter,4000,True
DJKamBer,304930,True
DJKamBer,570,True
DJKamBer,218620,True
DJKamBer,224260,True
DJKamBer,1250,True
DJKamBer,440,True
Rainbow-Dashie,730,True
Rainbow-Dashie,440,True
Rainbow-Dashie,49520,True
devvonst,440,True
devvonst,218740,True
devvonst,550,True
starkillershadow553,238090,True
starkillershadow553,242130,True
starkillershadow553,277430,True
76561198048353577,368230,True
76561198048353577,4000,True
76561198048353577,33930,True
76561198070565427,218620,True
76561198070565427,208090,True
76561198070565427,242700,True
76561198070565427,570,False
76561198070565427,224260,True
76561198054540475,12210,True
76561198054540475,265210,True
76561198054540475,48700,True
diego9031,4000,True
diego9031,317360,True
diego9031,223710,True
diego9031,299360,True
diego9031,322330,True
diego9031,1250,True
diego9031,12100,True
diego9031,204360,True
diego9031,440,True
diego9031,224260,True
76561198070194565,233250,True
76561198070194565,449140,True
76561198070194565,368730,True
76561198070194565,246280,True
76561198070194565,427270,True
76561198070194565,397100,True
76561198070194565,248570,True
UTNerd24,244210,True
UTNerd24,440,True
UTNerd24,376920,True
UTNerd24,257750,True
UTNerd24,221910,True
UTNerd24,2280,True
iamthekingofbrowntown,344760,False
iamthekingofbrowntown,252950,True
iamthekingofbrowntown,236430,True
iamthekingofbrowntown,399730,True
Posiblydead,277430,True
Posiblydead,239820,True
Posiblydead,17410,True
76561198102421718,270550,True
76561198102421718,274940,True
76561198102421718,333930,True
sad-commie,294100,True
sad-commie,212070,True
sad-commie,264140,True
76561198030567998,332800,True
76561198030567998,319630,True
76561198030567998,6020,True
76561198030567998,55230,True
76561198030567998,32430,True
Coldaniel,35450,True
Coldaniel,440,True
Coldaniel,236390,True
possessioniskey,72850,True
possessioniskey,440,True
possessioniskey,113400,True
Nozomikat,265610,True
Nozomikat,264200,True
Nozomikat,417860,True
Nozomikat,333600,True
Nozomikat,213670,True
Nozomikat,91310,True
Nozomikat,437220,False
Nozomikat,210770,True
xfluttersx,351640,True
xfluttersx,202530,False
xfluttersx,105600,True
xfluttersx,440,True
xfluttersx,47870,True
xfluttersx,383080,True
xfluttersx,410,True
ii_voltage_ii,253710,False
ii_voltage_ii,339280,True
ii_voltage_ii,271290,True
ii_voltage_ii,203290,True
Xx-Woods,346330,False
Xx-Woods,224260,True
Xx-Woods,317360,True
Xx-Woods,295550,True
Xx-Woods,250180,True
Xx-Woods,227940,True
Xx-Woods,17520,True
Xx-Woods,113420,True
kevinator23,320760,True
kevinator23,8850,True
kevinator23,233720,True
kevinator23,218620,True
kevinator23,730,True
kevinator23,219740,True
kevinator23,220240,True
kevinator23,440,True
CatsWhale,333950,True
CatsWhale,388520,True
CatsWhale,107410,True
CatsWhale,206210,True
Bluezap1,440,True
Bluezap1,730,True
Bluezap1,362890,True
Bluezap1,413850,True
AVATAR715,48240,False
AVATAR715,440,True
AVATAR715,248570,True
AVATAR715,264140,True
AVATAR715,4000,True
AVATAR715,266430,True
AVATAR715,316010,True
AVATAR715,249570,True
76561197994493402,365590,True
76561197994493402,264200,True
76561197994493402,440,True
